Player,Overs,Mdns,Runs,Wkts,Econ,Team,Opposition,Ground,Match Date,Scorecard
GRJ Matthews,9.0,-,27,3,3.0,Australia,v India,Sydney,05 Feb 1986,ODI # 362
RA Jadeja,10.0,2,28,3,2.8,India,v Australia,Chennai,08 Oct 2023,ODI # 4662
SR Waugh,6.0,-,29,3,4.83,Australia,v India,Visakhapatnam,03 Apr 2001,ODI # 1700
SR Watson,7.4,1,29,3,3.78,Australia,v India,Mohali,02 Nov 2009,ODI # 2919
Mohammed Siraj,5.4,1,29,3,5.11,India,v Australia,Wankhede,17 Mar 2023,ODI # 4538
YS Chahal,5.0,-,30,3,6.0,India,v Australia,Chennai,17 Sep 2017,ODI # 3910
PL Taylor,10.0,2,31,3,3.1,Australia,v India,Hamilton,08 Mar 1990,ODI # 618
M Prabhakar,9.0,-,31,3,3.44,India,v Australia,Sydney,20 Jan 1992,ODI # 711
S Sreesanth,9.0,-,31,3,3.44,India,v Australia,Melbourne,10 Feb 2008,ODI # 2675
NW Bracken,9.0,1,31,3,3.44,Australia,v India,Brisbane,04 Mar 2008,ODI # 2689
DR Doshi,10.0,1,32,3,3.2,India,v Australia,Melbourne,06 Dec 1980,ODI # 97
SLV Raju,10.0,1,32,3,3.2,India,v Australia,Sydney,20 Jan 1992,ODI # 711
J Srinath,9.0,1,32,3,3.55,India,v Australia,Sharjah,19 Apr 1994,ODI # 910
GD McGrath,9.0,1,33,3,3.66,Australia,v India,Colombo (SSC),06 Sep 1996,ODI # 1113
Maninder Singh,10.0,-,34,3,3.4,India,v Australia,Delhi,22 Oct 1987,ODI # 465
M Prabhakar,8.0,-,34,3,4.25,India,v Australia,Colombo (RPS),09 Sep 1994,ODI # 924
GD McGrath,10.0,1,34,3,3.4,Australia,v India,The Oval,04 Jun 1999,ODI # 1473
SP Davis,9.4,-,35,3,3.62,Australia,v India,Ahmedabad,05 Oct 1986,ODI # 394
SR Tendulkar,10.0,-,35,3,3.5,India,v Australia,Margao,06 Apr 2001,ODI # 1701
RA Jadeja,6.3,-,35,3,5.38,India,v Australia,Nagpur,28 Oct 2009,ODI # 2915
CJ McDermott,10.0,-,36,3,3.6,Australia,v India,Sharjah,29 Mar 1985,ODI # 325
MG Hughes,7.0,-,36,3,5.14,Australia,v India,Hamilton,08 Mar 1990,ODI # 618
B Lee,9.0,1,36,3,4.0,Australia,v India,Centurion,15 Feb 2003,ODI # 1951
BKV Prasad,10.0,-,37,3,3.7,India,v Australia,Bengaluru,21 Oct 1996,ODI # 1129
Harbhajan Singh,9.0,-,37,3,4.11,India,v Australia,Indore,31 Mar 2001,ODI # 1699
