Team 1,Team 2,4s,6s,Unnamed: 4,Winner,Ground,Match Date,Scorecard
India,Australia,37,15,,Australia,Chennai,22 Mar 2023,ODI # 4545
P.N.G.,U.A.E.,33,15,,U.A.E.,Windhoek,27 Mar 2023,ODI # 4551
South Africa,Netherlands,61,15,,South Africa,Johannesburg,2 Apr 2023,ODI # 4563
Jersey,U.A.E.,31,15,,U.A.E.,Windhoek,5 Apr 2023,ODI # 4566
Zimbabwe,U.S.A.,47,15,,Zimbabwe,Harare,26 Jun 2023,ODI # 4601
U.A.E.,U.S.A.,50,15,,U.A.E.,Harare,6 Jul 2023,ODI # 4617
England,New Zealand,52,15,,New Zealand,Cardiff,8 Sep 2023,ODI # 4636
Pakistan,Sri Lanka,62,15,,Pakistan,Hyderabad,10 Oct 2023,ODI # 4665
India,Afghanistan,53,15,,India,Delhi,11 Oct 2023,ODI # 4666
Australia,Netherlands,55,15,,Australia,Delhi,25 Oct 2023,ODI # 4681
Afghanistan,South Africa,35,15,,South Africa,Ahmedabad,10 Nov 2023,ODI # 4699
